L,absPolarity,sentiment_polarity,sentiment_subjectivity,1,2
True,0.5,-0.5,1.0,-871100.9227748543,732890.0195023069
True,0.075,-0.07,0.57,-808046.3623562665,644349.3511650806
True,0.138095238,-0.14,0.78,-779714.298397838,674709.7869840328
True,0.36666666700000006,-0.37,0.59,-832508.1147484123,398029.8570570082
True,0.066666667,-0.07,0.77,-574544.4906226734,737185.7235153976
True,0.625,-0.63,1.0,-648068.6472009878,489754.1697685433
True,0.433333333,-0.43,0.9,-847010.3822336576,839232.9478019405
True,0.5,-0.5,1.0,-739428.0505496436,688277.1480382511
True,0.333333333,0.33,0.63,-661148.9777150821,648443.1521421338
True,0.181818182,-0.18,0.75,-574544.4906226734,737185.7235153976
True,0.5,-0.5,1.0,-852750.0753042706,777364.0135141581
True,0.5,-0.5,1.0,-574544.4906226734,737185.7235153976
True,0.5,-0.5,1.0,-1027668.8800195245,812443.0804631512
True,0.18095238100000002,-0.18,0.68,-1156466.5628638272,853048.808352476
True,0.0,0.0,0.8,-732349.292541361,608182.6617734068
True,0.1,-0.1,0.7,-844135.536178786,765255.3202307512
True,0.15555555599999998,0.16,0.48,-196730.67945306952,-144518.95061271125
True,0.2625,0.26,0.82,-934424.0663236917,751547.7581386616
True,0.15,-0.15,0.7,-593405.3058996433,693541.2982071365
True,0.5,-0.5,1.0,-574544.4906226734,737185.7235153976
True,0.25,-0.25,0.53,-725583.9738029272,668769.55228801
True,0.162121212,0.16,0.82,-652767.4616961674,776887.8357438277
True,0.5,-0.5,1.0,-721472.4064557982,803327.5769807249
True,0.5,-0.5,1.0,-882958.3803929784,749599.5163496579
True,0.0,0.0,0.75,-686849.6384528499,824676.0112184974
True,0.45,-0.45,0.8,-868491.3380372045,589024.9632906716
True,0.25,-0.25,0.53,-726140.0574692194,739546.2303012458
True,0.025,0.02,0.78,-111143.13213827893,-334869.7557259091
True,0.327777778,-0.33,0.64,-890310.9093162889,759942.7854790532
True,0.2,-0.2,0.6,-702859.4145513927,636883.1265439152
True,0.5,-0.5,1.0,-756407.460950387,712136.1788653763
